[TEXTURES]
# id	file_path	transparent_color_r	g	b
0	textures\mario.png	255	255	255
-100	textures\bbox.png	5	5	5
20	textures\misc.png	176	224	248
30	textures\tank.png	243	243	244
40	textures\Enemies_BlasterMaster.png	243	243	244
50	textures\bullet.png	199	200	50
60	textures\Destroyed.png	0	57	115
70	textures\healthBar.png	255	255	255
80	textures\item.png	181	165	213
#map_id	file_path	r	g	b	
1	textures\Area21.png	5	5	5
2	textures\Area22.png	5	5	5
3	textures\Area23.png	5	5	5
4	textures\Area24.png	5	5	5
5	textures\Area25.png	5	5	5
6	textures\Area26.png	5	5	5
7	textures\Area27.png	5	5	5
8	textures\Area28.png	5	5	5
[SPRITES]

#TANK

#walk left
50001	109	5	135	23	30
50002	77 	30	103	48	30
50003	44	5	70	23	30
50004	12	30	38	48	30

#walk right 
50005	146	5	172	23	30
50006	178	30	204	48	30
50007	211	5	237	23	30
50008	243	30	269	48	30


#jump left	
50009	109	130	135	151	30
50010	77	130	103	151	30
50011	44	130	70	151	30
50012	10	130	36	151	30

#jump right	
50013	146	130	172	151	30
50014	178	130	204	151	30
50015	211	130	237	151	30
50016	245	130	271	151	30

#up gun idle left
50017	110	187	135	213	30
50018	110	218	135	246	30
50019	110	250	135	280	30
50020	110	283	135	317	30

#up gun idle right 
50021	146	187	171	213	30
50022	146	218	171	246	30
50023	146	250	171	280	30
50024	146	283	171	317	30

#up gun walking left
50025	110	283	135	317	30
50026	79	283	105	317	30
50027	48	283	74	317	30
50028	13	283	39	317	30

#up gun walking right	
50029	146	283	172	317	30
50030	176	283	202	317	30
50031	207	283	233	317	30
50032	242	283	268	317	30

#die
50033	146	318	200	360	30




#------GOLEM-------
#walking left
60001	108	1	122	27	40
60002	91	2	104	27	40

#walking right
60003	132	1	146	27	40
60004	150	2	163	27	40

#BULLET
#flying left
70001	3	47	27	54	50
70002	3	37	27	43	50
70003	3	26	27	32	50
70004	3	14	27	22	50
70005	3	2	27	10	50
#flying right
70006	35	47	59	54	50
70007	35	37	59	43	50
70008	35	26	59	32	50
70009	35	14	59	22	50
70010	35	3	59	9	50

#flying up
70011	4	61	13	85	50
70012	15	61	23	85	50
70013	27	61	35	85	50
70014	39	61	47	85	50
70015	50	61	58	85	50

#BUTTERFLY
#fly left
80001	104	32	122	47	40
80002	84	29	102	47	40
80003	64	32	82	47	40
80004	44	37	62	47	40

#fly right
80005	132	32	150	47	40
80006	152	29	170	47	40
80007	172	32	190	47	40
80008	192	37	210	47	40


#ROCKET
#left
90001	66	3	81	9	50
90002	87	4	100	9	50

#right
90003	114	3	129	9	50
90004	96	4	109	9	50

#Destroyed
#bullet
100001	279	102	295	118	60
100002	296	102	312	118	60
#Object
100003	183	93	207	117	60
100004	166	97	182	113	60
100005	149	97	165	113	60
100006	140	101	148	109	60
#Tank
100007	159	3	207	43	60
100008	143	44	207	92	60


#HEALTHBAR
110001	30	35	49	126	70
110002	56	37	71	44	70
110003	86	36	105	123	70
110004	111	37	126	43	70


#ITEM
#health
120001	87	240	103	256	80
#power
120002	45	240	61	256	80
#enable rocket
120003	24	240	40	256	80

[ANIMATIONS]
# ==== BRICK =========
601	20001	100

#====TANK========

#idle left
801	50001	40
#idle right
802	50005	40
#walk left
803	50001	40	50002	40	50003	40	50004	40
#walk right	
804	50005	40	50006	40	50007	40	50008	40
#jump idle left
805	50009	40
#jump idle right
806	50013	40
#jump left
807	50009	40	50010	40	50011	40	50012	40
#jump right
808	50013	40	50014	40	50015	40	50016	40

#uping gun idle left
809	50017	150	50018	150	50019	150

#uping gun idle right
810	50021	150	50022	150	50023	150

#up gun walking left
811	50025	40	50026	40	50027	40	50028	40

#up gun walking right
812	50029	40	50030	40	50031	40	50032	40

#down gun idle left
813	50020	40	50019	40	50018	40	50017	40

#down gun idle right
814	50024	40	50023	40	50022	40	50021	40

#up gun left
815	50025	150
#up gun right
816	50029	150

#die
817	50033	150


#-----GOLEM------
#walking left
901	60001	100	60002	100
#walking right
902	60003	100	60004	100

#-----BULLET------

#flying_left_lv1
1001	70001	100
#flying_right_lv1
1002	70006	100
#flying_up_lv1
1003	70011	100
#flying_left_lv2
1004	70001	40	70002	40	70003	40	70004	40	70005	40
#flying_right_lv2
1005	70006	40	70007	40	70008	40	70009	40	70010	40
#flying_up_lv2
1006	70011	40	70012	40	70013	40	70014	40	70015	40

#-----BUTTERFLY
#fly left
1101	80001	100	80002	100	80003	100	80004	100
#fly right
1102	80005	100	80006	100	80007	100	80008	100


#----ROCKET---
#fly left
1201	90001	200	90002	200
#fly right
1202	90003	200	90004	200

#-----DESTROYED-----
#bullet
1301	100001	40	100002	40
#obj
1302	100003	40	100004	40	100005	40	100006	40
#tank
1303	100007	40	100008	40

#-----HEALTHBAR-------
#Gun null
1401	110001	100
#Gun add
1402	110002	100
#Player null
1403	110003	100
#Player add
1404	110004	100

#-------------Item----------
#Health
1501	120001	100
#power
1502	120002	100
#enable rocket
1503	120003	100

[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599
# BRICK 
2	601

#TANK
4	801	802	803	804	805	806	807	808	817	809	810	811	812	813	814	815	816

#GOLEM
5	901	902

#BULLET
6	1001	1002	1003	1004	1005	1006

#BUTTERFLY
7	1101	1102

#ROCKET
8	1201	1202

#DESTROYED
9	1301	1302	1303
#HEALTHBAR
10	1401	1402	1403	1404
#Item
11	1501	1502	1503

