[TILE_MAP]
0	1	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	5	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
6	7	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	8	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	
0	1	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	5	0	1	0	1	9	10	10	10	10	10	10	10	10	10	10	11	0	1	0	1	9	10	10	10	10	10	10	10	10	10	10	11	0	1	
6	7	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	6	7	6	7	9	10	10	10	10	10	10	10	10	10	10	12	6	7	6	7	9	10	10	10	10	10	10	10	10	10	10	12	6	7	
0	1	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	5	0	1	0	1	13	13	13	13	13	13	13	13	13	13	13	14	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	
6	7	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	8	6	7	6	7	15	15	15	15	4	4	4	4	15	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	
0	1	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	5	0	1	0	1	15	15	15	4	4	17	17	4	4	15	15	16	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	
6	7	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	18	19	19	20	15	15	15	4	21	17	17	21	4	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	
0	1	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	5	22	19	19	23	15	15	15	4	21	17	17	21	4	15	15	16	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	
6	7	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	24	6	7	6	7	17	17	17	4	4	17	17	4	4	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	
0	1	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	24	0	1	0	1	17	17	17	13	4	17	17	4	13	15	15	16	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	
6	7	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	6	7	6	7	15	17	17	15	13	17	17	13	15	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	
0	1	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	5	0	1	0	1	15	17	17	15	15	17	17	15	15	15	15	16	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	
6	7	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	2	3	4	3	8	6	7	6	7	15	17	17	15	15	17	17	15	15	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	
0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	25	26	1	0	1	0	1	0	1	
6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	25	26	7	6	7	6	7	6	7	
0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	25	26	1	0	1	0	1	0	1	
6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	27	28	7	6	7	6	7	6	7	
0	1	9	10	10	10	10	10	10	10	10	10	10	11	0	1	0	1	9	10	10	10	10	10	10	10	10	10	10	11	0	1	0	1	9	10	10	10	10	10	10	10	10	10	10	11	0	1	0	1	9	10	10	10	10	29	30	10	10	10	10	11	0	1	
6	7	9	10	10	10	10	10	10	10	10	10	10	12	6	7	6	7	9	10	10	10	10	10	10	10	10	10	10	12	6	7	6	7	9	10	10	10	10	10	10	10	10	10	10	12	6	7	6	7	9	10	10	10	10	31	32	10	10	10	10	12	6	7	
0	1	13	13	13	13	13	13	13	13	13	13	13	14	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	0	1	13	13	13	13	13	17	17	13	13	13	13	14	0	1	
6	7	15	15	15	15	15	15	15	15	15	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	6	7	15	15	15	15	15	21	21	15	15	15	15	16	6	7	
0	1	15	15	21	21	21	21	21	21	21	21	15	16	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	0	1	15	15	15	15	15	21	21	21	21	21	15	16	0	1	
6	7	15	15	21	21	21	21	21	21	21	21	15	16	18	19	19	20	3	2	3	2	3	2	3	2	3	2	3	8	18	19	19	20	3	2	3	2	3	2	3	2	3	2	3	8	18	19	19	20	15	15	15	15	15	21	21	21	21	21	15	16	6	7	
0	1	15	15	21	21	13	13	13	13	21	21	15	16	22	19	19	23	2	3	2	3	2	3	2	3	2	3	2	5	22	19	19	23	2	3	2	3	2	3	2	3	2	3	2	5	22	19	19	23	15	15	15	15	15	13	13	13	21	21	15	16	0	1	
6	7	15	15	21	21	15	15	15	15	21	21	21	24	6	7	6	7	17	2	3	2	3	2	3	2	3	2	3	24	6	7	6	7	17	2	3	2	3	2	3	2	3	2	3	24	6	7	6	7	17	21	15	15	15	15	15	15	21	21	15	16	6	7	
0	1	15	15	21	21	21	21	21	15	13	21	21	24	0	1	0	1	17	3	2	3	2	3	2	3	2	3	2	24	0	1	0	1	17	3	2	3	2	3	2	3	2	3	2	24	0	1	0	1	17	21	21	21	21	21	21	21	21	21	15	16	0	1	
6	7	15	15	21	21	21	21	21	15	15	13	13	14	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	6	7	13	13	21	21	21	21	21	21	13	13	15	16	6	7	
0	1	15	15	13	13	13	21	21	15	15	15	15	16	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	0	1	2	3	2	3	2	3	2	3	2	3	2	5	0	1	0	1	15	15	13	13	13	13	13	13	15	15	15	16	0	1	
6	7	15	15	15	15	15	21	21	15	15	15	15	16	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	6	7	3	2	3	2	3	2	3	2	3	2	3	8	6	7	6	7	15	15	15	15	15	15	15	15	15	15	15	16	6	7	
0	1	0	1	0	1	0	25	26	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	25	26	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
6	7	6	7	6	7	6	25	26	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	25	26	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	
0	1	0	1	0	1	0	25	26	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	25	26	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
6	7	6	7	6	7	6	27	28	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	27	28	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	
