[TILE_MAP]
0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	
0	1	4	5	5	5	5	5	5	5	5	5	5	6	0	1	
2	3	4	5	5	5	5	5	5	5	5	5	5	7	2	3	
0	1	8	9	8	9	8	9	8	9	8	9	8	10	0	1	
2	3	9	8	9	8	9	8	9	8	9	8	9	11	2	3	
0	1	8	9	8	9	8	9	8	9	8	9	8	10	0	1	
2	3	9	8	9	8	9	8	9	8	9	8	9	11	12	13	
0	1	8	9	8	9	14	15	16	9	8	9	8	10	17	13	
2	3	9	8	9	8	18	19	20	8	9	8	9	21	2	3	
0	1	8	9	8	9	22	23	24	9	8	9	8	21	0	1	
2	3	9	8	9	8	9	8	9	8	9	8	9	11	2	3	
0	1	8	9	8	9	8	9	8	9	8	9	8	10	0	1	
2	3	9	8	9	8	9	8	9	8	9	8	9	11	2	3	
0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3

[OBJECTS]
#OHSOPHIA
20	100.0	64	20

#BRICK
1	32	48	2
1	48	48	2
1	64	48	2
1	80	48	2
1	96	48	2
1	112	48	2
1	128	48	2
1	144	48	2
1	160	48	2
1	176	48	2
1	192	48	2
1	208	48	2
1	32	64	2
1	208	64	2
1	32	80	2
1	208	80	2
1	32	96	2
1	208	96	2
1	32	112	2
1	32	128	2
1	32	144	2
1	208	144	2
1	32	160	2
1	208	160	2
1	32	176	2
1	208	176	2
1	32	192	2
1	208	192	2
1	32	208	2
1	208	208	2
1	32	224	2
1	48	224	2
1	64	224	2
1	80	224	2
1	96	224	2
1	112	224	2
1	128	224	2
1	144	224	2
1	160	224	2
1	176	224	2
1	192	224	2
1	208	224	2
